Date,BG,AGRO,MOS,ICL,CF,CAT,ADM,SMG,LAND,TSN,FMC,AGCO,TSCO,DE,UFPI
2018-08-14,61.95000076293945,8.3100004196167,30.639999389648438,5.230000019073486,48.0,134.9199981689453,49.939998626708984,73.70999908447266,13.039999961853027,59.58000183105469,74.26712799072266,58.529998779296875,81.4800033569336,138.64999389648438,36.79999923706055
2018-08-15,61.790000915527344,8.25,29.649999618530273,5.170000076293945,47.09000015258789,132.02000427246094,49.439998626708984,74.12999725341797,12.9399995803833,60.0,72.67129516601562,57.5,80.43000030517578,135.6999969482422,36.56999969482422
2018-08-16,62.619998931884766,8.260000228881836,29.6299991607666,5.139999866485596,47.290000915527344,136.25999450683594,50.150001525878906,75.0999984741211,13.109999656677246,60.959999084472656,73.3044204711914,58.279998779296875,79.63999938964844,137.35000610351562,36.90999984741211
2018-08-17,63.040000915527344,8.470000267028809,29.6299991607666,5.199999809265137,47.52000045776367,139.33999633789062,50.54999923706055,75.51000213623047,13.220000267028809,62.400001525878906,73.23503875732422,60.0099983215332,80.51000213623047,140.58999633789062,37.06999969482422
2018-08-20,63.81999969482422,8.420000076293945,29.760000228881836,5.260000228881836,48.810001373291016,138.6699981689453,50.77000045776367,76.95999908447266,13.1899995803833,63.400001525878906,73.81613159179688,60.31999969482422,81.37000274658203,140.52999877929688,37.47999954223633
2018-08-21,63.880001068115234,8.420000076293945,29.520000457763672,5.349999904632568,48.220001220703125,139.99000549316406,50.7400016784668,76.02999877929688,13.380000114440918,62.90999984741211,74.23243713378906,61.619998931884766,83.37000274658203,143.8300018310547,37.970001220703125
2018-08-22,63.0,8.40999984741211,29.479999542236328,5.349999904632568,48.65999984741211,139.6300048828125,50.5,75.62999725341797,13.229999542236328,62.5,74.09366607666016,61.040000915527344,86.30000305175781,142.61000061035156,37.470001220703125
2018-08-23,62.70000076293945,8.229999542236328,29.43000030517578,5.340000152587891,49.459999084472656,136.7899932861328,50.5099983215332,74.48999786376953,13.270000457763672,62.599998474121094,73.35646057128906,60.2599983215332,88.86000061035156,141.17999267578125,36.95000076293945
2018-08-24,64.18000030517578,8.229999542236328,29.639999389648438,5.429999828338623,49.95000076293945,138.2100067138672,50.70000076293945,73.98999786376953,13.279999732971191,63.119998931884766,74.18907165527344,61.31999969482422,88.58000183105469,144.75999450683594,37.060001373291016
2018-08-27,64.69999694824219,8.359999656677246,30.6200008392334,5.670000076293945,50.630001068115234,142.0399932861328,50.779998779296875,74.27999877929688,13.3100004196167,62.84000015258789,74.90026092529297,62.02000045776367,86.54000091552734,146.1999969482422,37.38999938964844
2018-08-28,64.75,8.289999961853027,30.84000015258789,5.699999809265137,50.709999084472656,142.0,50.45000076293945,74.0,13.449999809265137,62.459999084472656,74.908935546875,61.880001068115234,85.9800033569336,146.5,36.959999084472656
2018-08-29,65.31999969482422,8.119999885559082,31.59000015258789,5.860000133514404,51.63999938964844,141.86000061035156,50.400001525878906,74.31999969482422,13.430000305175781,63.06999969482422,75.09973907470703,61.790000915527344,86.48999786376953,145.99000549316406,37.279998779296875
2018-08-30,64.66000366210938,7.789999961853027,31.329999923706055,5.840000152587891,51.529998779296875,139.05999755859375,50.380001068115234,74.3499984741211,13.550000190734863,62.54999923706055,73.77276611328125,59.939998626708984,86.48999786376953,143.32000732421875,37.20000076293945
2018-08-31,64.9800033569336,8.010000228881836,31.270000457763672,5.869999885559082,51.95000076293945,138.85000610351562,50.400001525878906,74.72000122070312,13.699999809265137,62.810001373291016,74.11101531982422,59.65999984741211,88.27999877929688,143.8000030517578,37.459999084472656
2018-09-04,63.709999084472656,7.579999923706055,30.829999923706055,5.639999866485596,51.849998474121094,138.24000549316406,50.08000183105469,74.69999694824219,13.260000228881836,62.75,72.00347137451172,59.099998474121094,90.81999969482422,141.6999969482422,37.2400016784668
2018-09-05,63.9900016784668,7.429999828338623,30.510000228881836,5.650000095367432,51.2400016784668,140.58999633789062,49.83000183105469,75.72000122070312,13.15999984741211,62.5,72.40242767333984,61.220001220703125,90.19000244140625,144.8800048828125,37.650001525878906
2018-09-06,63.290000915527344,7.5,30.280000686645508,5.590000152587891,50.95000076293945,141.57000732421875,49.40999984741211,76.73999786376953,13.210000038146973,63.08000183105469,71.93408203125,60.56999969482422,89.91000366210938,145.10000610351562,37.36000061035156
2018-09-07,63.70000076293945,7.489999771118164,29.940000534057617,5.550000190734863,50.93000030517578,141.32000732421875,49.310001373291016,76.30999755859375,13.15999984741211,63.27000045776367,71.2662582397461,60.439998626708984,89.47000122070312,147.6300048828125,37.59000015258789
2018-09-10,62.959999084472656,7.28000020980835,30.299999237060547,5.539999961853027,51.470001220703125,142.0500030517578,49.70000076293945,76.87999725341797,13.100000381469727,63.38999938964844,71.20555114746094,60.63999938964844,89.94000244140625,148.61000061035156,37.869998931884766
2018-09-11,63.2599983215332,7.010000228881836,30.93000030517578,5.610000133514404,52.33000183105469,142.02999877929688,49.75,78.33000183105469,13.0,63.529998779296875,71.5438003540039,60.189998626708984,90.69000244140625,148.60000610351562,38.099998474121094
2018-09-12,63.61000061035156,7.130000114440918,31.1200008392334,5.739999771118164,52.58000183105469,144.27999877929688,49.88999938964844,77.94999694824219,12.970000267028809,63.720001220703125,72.22896575927734,59.119998931884766,88.62999725341797,147.77999877929688,38.25
2018-09-13,63.68000030517578,7.309999942779541,30.68000030517578,5.769999980926514,51.29999923706055,145.5399932861328,50.0,77.58000183105469,12.600000381469727,63.5,73.50390625,58.790000915527344,88.61000061035156,148.8699951171875,37.130001068115234
2018-09-14,64.33000183105469,7.440000057220459,30.790000915527344,5.75,51.54999923706055,144.89999389648438,50.040000915527344,76.63999938964844,12.579999923706055,63.400001525878906,74.08499908447266,58.4900016784668,87.41000366210938,147.75999450683594,37.84000015258789
2018-09-17,64.61000061035156,7.489999771118164,31.989999771118164,5.949999809265137,51.95000076293945,146.22000122070312,49.779998779296875,78.93000030517578,12.680000305175781,63.060001373291016,74.78751373291016,59.099998474121094,87.69000244140625,149.0399932861328,37.13999938964844
2018-09-18,64.80000305175781,7.349999904632568,31.489999771118164,6.070000171661377,52.5,149.07000732421875,49.619998931884766,79.0199966430664,12.699999809265137,62.369998931884766,74.64006805419922,59.11000061035156,88.63999938964844,149.0399932861328,36.849998474121094
2018-09-19,65.23999786376953,7.300000190734863,31.799999237060547,6.130000114440918,53.130001068115234,152.75999450683594,49.939998626708984,79.12999725341797,12.489999771118164,61.560001373291016,76.47875213623047,59.959999084472656,89.12999725341797,152.38999938964844,36.119998931884766
2018-09-20,66.18000030517578,7.610000133514404,32.310001373291016,6.179999828338623,53.310001373291016,156.0,50.33000183105469,80.61000061035156,12.5,62.310001373291016,77.66695404052734,61.130001068115234,89.44000244140625,154.07000732421875,35.79999923706055
2018-09-21,66.7300033569336,7.78000020980835,32.33000183105469,6.21999979019165,52.810001373291016,156.3800048828125,50.31999969482422,78.83999633789062,12.449999809265137,61.2400016784668,77.93582153320312,60.2400016784668,89.9800033569336,152.80999755859375,35.52000045776367
2018-09-24,66.2300033569336,7.539999961853027,31.989999771118164,6.179999828338623,52.810001373291016,154.0,49.619998931884766,78.1500015258789,12.369999885559082,60.9900016784668,77.84041595458984,60.400001525878906,90.55000305175781,151.5500030517578,35.13999938964844
2018-09-25,66.62999725341797,7.519999980926514,32.61000061035156,6.210000038146973,54.2599983215332,154.08999633789062,49.63999938964844,77.55000305175781,12.369999885559082,60.529998779296875,77.72766876220703,60.5,90.38999938964844,151.2899932861328,34.79999923706055
2018-09-26,67.4000015258789,7.480000019073486,32.54999923706055,6.179999828338623,54.880001068115234,153.1699981689453,49.349998474121094,78.0,12.170000076293945,59.7599983215332,77.1639175415039,61.15999984741211,91.16999816894531,152.32000732421875,34.63999938964844
2018-09-27,68.54000091552734,7.389999866485596,32.27000045776367,6.130000114440918,53.77000045776367,152.47000122070312,49.45000076293945,78.01000213623047,12.319999694824219,59.790000915527344,76.06244659423828,60.790000915527344,91.11000061035156,151.22000122070312,35.22999954223633
2018-09-28,68.70999908447266,7.349999904632568,32.47999954223633,6.03000020980835,54.439998626708984,152.49000549316406,50.27000045776367,78.7300033569336,12.34000015258789,59.529998779296875,75.6114501953125,60.790000915527344,90.87999725341797,150.3300018310547,35.33000183105469
2018-10-01,67.61000061035156,7.28000020980835,32.869998931884766,6.070000171661377,54.79999923706055,152.27999877929688,50.11000061035156,78.83999633789062,12.3100004196167,58.849998474121094,76.08846282958984,59.68000030517578,90.30000305175781,150.86000061035156,33.90999984741211
2018-10-02,69.05999755859375,7.28000020980835,33.04999923706055,6.349999904632568,55.810001373291016,154.82000732421875,50.40999984741211,79.02999877929688,12.270000457763672,59.029998779296875,77.73634338378906,60.209999084472656,88.81999969482422,154.82000732421875,33.79999923706055
